name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,latitude,longitude,severity_score,year_valid,decade,century,mass_category,fall_found_flag,hemisphere_ns,hemisphere_ew,location_quality
grove mountains 053039,46494,valid,h4,3.01,found,2006.0,-72.79306,75.27889,"-72.79306, 75.27889",-72.79306,75.27889,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 053040,50494,valid,h4,2.53,found,2006.0,-72.77639,75.27889,"-72.77639, 75.27889",-72.77639,75.27889,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 053041,48399,valid,h5,1.2,found,2006.0,-72.793056,75.278889,"-72.793056, 75.278889",-72.793056,75.278889,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 053045,48400,valid,h5,0.74,found,2006.0,-72.793056,75.278889,"-72.793056, 75.278889",-72.793056,75.278889,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 053047,48401,valid,h5,0.82,found,2006.0,-72.773333,75.348333,"-72.773333, 75.348333",-72.773333,75.348333,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 053049,48402,valid,h5,0.67,found,2006.0,-72.782778,75.289722,"-72.782778, 75.289722",-72.782778,75.289722,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 053065,50495,valid,h6,0.51,found,2006.0,-72.78278,75.28972,"-72.78278, 75.28972",-72.78278,75.28972,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 053076,48403,valid,l6,53.58,found,2006.0,-72.779167,75.315556,"-72.779167, 75.315556",-72.779167,75.315556,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 053077,50496,valid,l5,50.23,found,2006.0,-72.77917,75.31556,"-72.77917, 75.31556",-72.77917,75.31556,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 053080,50497,valid,l5,29.27,found,2006.0,-72.77917,75.31556,"-72.77917, 75.31556",-72.77917,75.31556,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 053081,48404,valid,l6,28.1,found,2006.0,-72.773611,75.319722,"-72.773611, 75.319722",-72.773611,75.319722,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 053083,48405,valid,l5,22.71,found,2006.0,-72.779167,75.315556,"-72.779167, 75.315556",-72.779167,75.315556,1,True,2000.0,21.0,small,found,south,east,valid
